Company Name,Experience Years,Levels,Salary,Education_Requirement
Ych Protrade - Công Ty TNHH Ych-Protrade,Yêu cầu kinh nghiệm,2 tháng,15 - 20 triệu,Trung cấp
Công Ty Cổ Phần Công Nghệ Mobiwork Việt Nam,Yêu cầu kinh nghiệm,02 tháng,7 - 30 triệu,Đại học
Tập Đoàn Saint-Gobain (Công Ty Cổ Phần Công Nghiệp Vĩnh Tường),Yêu cầu kinh nghiệm,2 tháng,16 - 20 triệu,Cao đẳng
Công Ty TNHH Kỹ Thuật Long Thành Phát,Yêu cầu kinh nghiệm,2 tháng,11 - 15 triệu,Cao đẳng
Công Ty TNHH Thương Mại Mz Việt Nam,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,14 - 17 triệu,Cao đẳng
Công Ty TNHH Thương Mại Và Đầu Tư Thái Bình Dương,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,10 - 20 triệu,Cao đẳng
Công Ty TNHH Sản Xuất Thương Mại Thành Thông,Yêu cầu kinh nghiệm,2 tháng,8 - 25 triệu,Cao đẳng
Công Ty Cổ Phần Thiết Bị Và Giải Pháp Cơ Khí Automech,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,7 - 8 triệu,Cao đẳng
Công Ty TNHH Gbc Engineers Việt Nam,Yêu cầu kinh nghiệm,2 tháng,20 - 30 triệu,Đại học
Công Ty Cổ Phần Đầu Tư Thành Thành Công,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,25 - 30 triệu,Đại học
Công Ty Cổ Phần Emin Việt Nam,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,15 - 20 triệu,Cao đẳng
Công Ty Cổ Phần Công Nghệ Và Giải Pháp S5T Việt Nam,Yêu cầu kinh nghiệm,1 tháng,15 - 30 triệu,Đại học
Công Ty Tnhh Baller Headwear Việt Nam,Yêu cầu kinh nghiệm,1 tháng,11 - 15 triệu,Cao đẳng
Công Ty TNHH KD Quốc Tế,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,13 - 15 triệu,Đại học
Công Ty TNHH Nhóm Mây,Yêu cầu kinh nghiệm,2 tháng,15 - 30 triệu,Đại học
Công Ty CP Ancarat Việt Nam,Yêu cầu kinh nghiệm,2 tháng,12 - 18 triệu,Cao đẳng
Công Ty CP Nhà Máy Wembley Medical,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,10 - 12 triệu,Đại học
Công Ty TNHH Alubend Vietnam,Yêu cầu kinh nghiệm,2 tháng,15 - 30 triệu,Đại học
Công ty TNHH Anabuki NL Housing Service Việt Nam,Yêu cầu kinh nghiệm,2 tháng,13 - 15 triệu,Cao đẳng
Công Ty TNHH Thiết Bị Dầu Khí Schoeller Bleckmann Việt Nam,Yêu cầu kinh nghiệm,1 tháng,10 - 15 triệu,Trung cấp
CÔNG TY CP QUỐC TẾ THIỀN SINH THÁI,Yêu cầu kinh nghiệm,2 tháng,8 - 15 triệu,Cao đẳng
CÔNG TY TNHH TỰ ĐỘNG HÓA SVN,Yêu cầu kinh nghiệm,2 tháng,12 - 25 triệu,Đại học
Công Ty TNHH Thiết Bị Phụ Tùng An Phát,Yêu cầu kinh nghiệm,2 tháng,15 - 25 triệu,Cao đẳng
Công Ty Cổ Phần Phần Mềm Hoàn Cầu,Yêu cầu kinh nghiệm,Cộng tác viên,0.1 - 1 triệu,Đại học
Công Ty TNHH Điện Tử Sharp Việt Nam,Yêu cầu kinh nghiệm,2 tháng,10 - 40 triệu,Đại học
Công Ty Cổ Phần Nisso Data Việt Nam,Yêu cầu kinh nghiệm,2 tháng,40 - 55 triệu,Cao đẳng
Công Ty TNHH Mediastep Software Việt Nam,Yêu cầu kinh nghiệm,2 tháng,17 - 25 triệu,Cao đẳng
Công Ty Tnhh Aegona,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,1 - 50 triệu,Đại học
Công Ty Cổ Phần Maison Retail Management International,Yêu cầu kinh nghiệm,2 tháng,10 - 12 triệu,Cao đẳng
Công Ty TNHH MTV Giáo Dục Ánh Dương,Yêu cầu kinh nghiệm,2 tháng,8 - 12 triệu,Cao đẳng
Chi Nhánh Công Ty TNHH Halcyon Technology Việt Nam Tại Hà Nội,Yêu cầu kinh nghiệm,1 tháng,10 - 15 triệu,Cao đẳng
Công Ty TNHH Phát Triển Thương Mại Và Kỹ Thuật Toàn Cầu,Yêu cầu kinh nghiệm,Chuyên viên- nhân viên,8 - 15 triệu,Cao đẳng
Công Ty CP Giáo Dục Thành Thành Công - IGC GROUP,Yêu cầu kinh nghiệm,2 tháng,7 - 8 triệu,Đại học
Văn Phòng Đại Diện Công Ty Cổ Phần Dịch Vụ Công Nghệ Tsc Việt Nam Tại Đà Nẵng,Yêu cầu kinh nghiệm,2 tháng,10 - 25 triệu,Đại học
Công Ty Cổ Phần Mỹ Phẩm Quốc Tế Thuỳ Dung,Yêu cầu kinh nghiệm,2 tháng,12 - 15 triệu,Cao đẳng
Công Ty TNHH Thương Mại Dịch Vụ Saigonitservices,Yêu cầu kinh nghiệm,1 tháng,9 - 15 triệu,Cao đẳng
Công Ty Cổ Phần Phần Mềm Oos,Yêu cầu kinh nghiệm,2 tháng,10 - 20 triệu,Đại học
